time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,horizontalError,depthError,magError,magNst
2023-01-01T23:10:09.024Z,-6.164,130.366,110.639,4.0,mb,14.0,141.0,2.03,0.39,us,us7000j3y7,2023-03-11T22:51:46.040Z,"270 km WSW of Tual, Indonesia",12.08,13.331,0.196,7.0
2023-01-01T23:27:38.422Z,37.051,135.239,369.061,4.3,mb,108.0,47.0,2.231,0.73,us,us7000j1hk,2023-03-11T22:51:31.040Z,Sea of Japan,8.31,6.355,0.065,67.0
2023-01-01T23:56:53.930Z,19.36,-65.726,34.0,3.62,md,14.0,270.0,1.1104,0.44,pr,pr2023001004,2023-01-02T00:32:06.212Z,"103 km N of Suárez, Puerto Rico",3.64,25.85,0.08,4.0
2023-01-01T23:59:29.195Z,-2.493,140.738,10.0,4.2,mb,19.0,99.0,16.495,0.45,us,us7000j3yb,2023-03-11T22:51:46.040Z,"5 km NNE of Jayapura, Indonesia",10.43,1.863,0.175,9.0
2023-01-02T00:22:05.645Z,6.828,-73.088,153.952,4.3,mb,14.0,59.0,0.929,0.92,us,us7000j43n,2023-03-11T22:51:46.040Z,"10 km N of Jordán, Colombia",7.15,9.255,0.218,6.0
2023-01-02T00:47:21.796Z,-7.722,123.317,242.699,4.4,mb,14.0,122.0,2.228,0.48,us,us7000j44n,2023-03-11T22:51:48.040Z,"157 km NE of Maumere, Indonesia",13.77,11.216,0.202,7.0
2023-01-02T00:50:12.276Z,52.356,-168.329,37.037,4.3,mb,138.0,139.0,0.695,0.67,us,us7000j1hy,2023-03-11T22:51:31.040Z,"74 km SSE of Nikolski, Alaska",6.16,6.712,0.075,51.0
2023-01-02T02:14:44.802Z,10.555,-62.369,89.663,4.4,mb,65.0,92.0,1.717,0.62,us,us7000j43p,2023-03-11T22:51:46.040Z,"8 km WSW of Güiria, Venezuela",8.7,6.501,0.088,37.0
2023-01-02T03:20:18.170Z,33.398,-116.39,3.36,2.61,ml,114.0,16.0,0.07309,0.18,ci,ci40152887,2023-03-11T22:51:31.040Z,"16km N of Borrego Springs, CA",0.1,0.38,0.158,84.0
2023-01-02T03:27:29.148Z,9.391,126.02,10.004,4.4,mb,26.0,126.0,2.347,0.62,us,us7000j43q,2023-03-11T22:51:46.040Z,"7 km NE of Cantilan, Philippines",8.9,4.377,0.139,15.0
2023-01-02T03:40:15.163Z,52.194,-168.315,26.846,2.9,ml,17.0,217.0,0.846,0.34,us,us7000j5l1,2023-03-11T22:51:52.040Z,"90 km SSE of Nikolski, Alaska",6.86,14.28,0.097,14.0
2023-01-02T03:43:19.446Z,52.301,-168.351,35.342,2.9,ml,13.0,225.0,0.739,0.5,us,us7000j5l7,2023-03-11T22:51:52.040Z,"78 km SSE of Nikolski, Alaska",5.94,23.985,0.091,16.0
2023-01-02T03:48:31.481Z,50.66,-175.271,10.0,2.8,ml,12.0,249.0,1.39,0.62,us,us7000j5l8,2023-03-11T22:51:52.040Z,"Andreanof Islands, Aleutian Islands, Alaska",5.01,2.014,0.148,6.0
2023-01-02T04:06:03.396Z,54.497,-159.579,36.047,2.6,ml,22.0,224.0,0.335,0.47,us,us7000j5l2,2023-03-11T22:51:52.040Z,"110 km SSE of Sand Point, Alaska",5.72,25.967,0.085,18.0
2023-01-02T04:15:00.130Z,17.948,-66.909,12.69,2.8,md,22.0,192.0,0.03883,0.13,pr,pr71390323,2023-01-02T05:22:04.140Z,Puerto Rico region,0.34,0.28,0.0968394909150549,16.0
2023-01-02T04:21:34.794Z,27.597,90.307,35.0,4.4,mb,59.0,107.0,3.118,0.62,us,us7000j1if,2023-03-11T22:51:31.040Z,"22 km WNW of Trongsa, Bhutan",11.07,1.912,0.084,41.0
2023-01-02T04:52:51.344Z,52.198,-168.222,26.914,3.8,mb,49.0,181.0,0.866,0.46,us,us7000j43r,2023-03-11T22:51:46.040Z,"93 km SSE of Nikolski, Alaska",2.24,7.148,0.089,33.0
2023-01-02T04:57:01.501Z,54.157,-164.302,10.0,2.8,ml,21.0,197.0,0.357,0.52,us,us7000j1ym,2023-03-11T22:51:37.040Z,"96 km E of Akutan, Alaska",1.36,1.977,0.097,14.0
2023-01-02T05:20:35.700Z,41.974,142.564,69.253,4.4,mb,107.0,104.0,0.444,0.49,us,us7000j1im,2023-03-11T22:51:31.040Z,"Hokkaido, Japan region",6.79,4.798,0.067,65.0
2023-01-02T05:25:47.032Z,-22.373,-179.531,557.413,4.5,mb,50.0,94.0,4.197,0.63,us,us7000j1iw,2023-03-11T22:51:31.040Z,south of the Fiji Islands,6.11,9.127,0.089,38.0
2023-01-02T05:28:07.821Z,36.286,21.871,35.0,4.6,mb,94.0,110.0,0.891,0.68,us,us7000j1in,2023-03-11T22:51:31.040Z,"56 km S of Koróni, Greece",7.99,1.92,0.055,97.0
2023-01-02T05:40:16.019Z,-18.988,167.622,10.0,4.2,mb,11.0,186.0,3.261,0.19,us,us7000j442,2023-03-11T22:51:47.040Z,Vanuatu,5.78,1.986,0.236,5.0
2023-01-02T05:48:25.641Z,-59.798,-26.275,35.0,4.8,mb,50.0,52.0,7.842,0.42,us,us7000j1iv,2023-03-11T22:51:31.040Z,South Sandwich Islands region,11.54,1.905,0.085,43.0
2023-01-02T06:07:40.654Z,-63.46,171.781,10.0,4.5,mb,17.0,132.0,11.139,0.31,us,us7000j43s,2023-03-11T22:51:47.040Z,,8.78,1.919,0.156,12.0
2023-01-02T06:17:52.865Z,-5.801,101.402,10.0,4.1,mb,14.0,204.0,2.108,0.5,us,us7000j43v,2023-03-11T22:51:47.040Z,"southwest of Sumatra, Indonesia",9.98,1.969,0.262,4.0
